# 2026-09-13 attribution-trailer correction; commit trees, authors, dates and parent order preserved.
# Existing source-revision and binary-checksum provenance remains unchanged. See HISTORY_REWRITE_20260913.md.
old	new
17feabe87d71daf2a5c1540e20e93c0d4041a22b	ccd262e0904460d42dee4ea89aacdbcb876d11be
18616c4207fa45d7d9452cee462ef463feedd6cb	18616c4207fa45d7d9452cee462ef463feedd6cb
18656dd56b7f32d7f3eb84cffe54d0f8580aa588	18656dd56b7f32d7f3eb84cffe54d0f8580aa588
1868ddf9e92a853b83957aec29721432a5da0cf6	1868ddf9e92a853b83957aec29721432a5da0cf6
1a380966fcfd11774d79aea9c0c226c6d0a13955	1a380966fcfd11774d79aea9c0c226c6d0a13955
1a537f74752b05e594a602549eceb6c07109a29e	1a537f74752b05e594a602549eceb6c07109a29e
1a7a6971ff112c511e9d588a4be3062ca63aa089	1a7a6971ff112c511e9d588a4be3062ca63aa089
1aa1af290756b7b2746fa5b7744e073cb60c5520	1aa1af290756b7b2746fa5b7744e073cb60c5520
1acb4cd6a66e8571bb7d0a0cdd7865cd046db7ba	7b82fd8a82a0e721d17a0c5acc6826d5ff01b9b8
1b6c2d09cd1e66153ced493549c76f153d1c7aca	1b6c2d09cd1e66153ced493549c76f153d1c7aca
1b85390327034fe3777fd89b06b7bbacffdc4ed0	1b85390327034fe3777fd89b06b7bbacffdc4ed0
1c23c7e62901b6c4b4670da23af91424ed64b4f7	1c23c7e62901b6c4b4670da23af91424ed64b4f7
1c5ab2a12e6880e80832fdeb8817ce8d5b949d71	1c5ab2a12e6880e80832fdeb8817ce8d5b949d71
1c699e7b27699373d0248a050f34f39409e88814	1c699e7b27699373d0248a050f34f39409e88814
1c99f03c99de8ac35fe4da6c90356f7eac7a0cc0	1c99f03c99de8ac35fe4da6c90356f7eac7a0cc0
1cba6dfc0e8f475b3da41d22a9435dfb692dc361	1cba6dfc0e8f475b3da41d22a9435dfb692dc361
1cca730f762928015efdf85d0c6d331a24cb2ed2	1cca730f762928015efdf85d0c6d331a24cb2ed2
1da16b1726e9be5a1fe1e30a340b52f6dd26ccd1	1da16b1726e9be5a1fe1e30a340b52f6dd26ccd1
1daabe5c31259d2857fa61aabb0eac36adbe2e78	1daabe5c31259d2857fa61aabb0eac36adbe2e78
1dc57ab4b27ff076321c2ab9642f8e025d725859	1dc57ab4b27ff076321c2ab9642f8e025d725859
1f4ae0d6d9af4c76e7bcf70d7a0fe8ef5eeba7b7	1f4ae0d6d9af4c76e7bcf70d7a0fe8ef5eeba7b7
1fdd6b5cdd40dfdde734633d0880e8d54c84f439	1fdd6b5cdd40dfdde734633d0880e8d54c84f439
1fdd749ecde08a09519ca8ca4ee4fb7dbef632bf	1fdd749ecde08a09519ca8ca4ee4fb7dbef632bf
